,name,text,time
41,HENATA_Son,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:16 +0000 2020
42,abdaleaziz_s1,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:16 +0000 2020
43,fw11az,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:16 +0000 2020
44,A4hecd6pN3OgnZh,b'RT @ALABDULLATIF:      \n  | 10  #iPhone12\n\n\n  \n  \n  ',Mon Nov 02 15:16:17 +0000 2020
45,e_r14hemo,b'RT @ALABDULLATIF:      \n  | 10  #iPhone12\n\n\n  \n  \n  ',Mon Nov 02 15:16:17 +0000 2020
46,Fahd5460,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:18 +0000 2020
47,abu_nayef1212,b'RT @ALABDULLATIF:      \n  | 10  #iPhone12\n\n\n  \n  \n  ',Mon Nov 02 15:16:19 +0000 2020
48,1244_noor,b'RT @ALABDULLATIF:      \n  | 10  #iPhone12\n\n\n  \n  \n  ',Mon Nov 02 15:16:19 +0000 2020
49,Omar778921,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:20 +0000 2020
50,5007Huda,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:20 +0000 2020
51,plhli,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:20 +0000 2020
52,abom7mdp,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:20 +0000 2020
53,asmer007,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:20 +0000 2020
54,mama0009148,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:20 +0000 2020
55,AliZh05,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:20 +0000 2020
56,miish71632113,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:20 +0000 2020
57,SMSV_14,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:21 +0000 2020
58,habitnh,b'#AForcadoQuerer #BRAxPER #brasilnoeiplus #AppleEvent  #TDYAwards #iPhone12 #AlbumOfTheYear #RoaAFazenda https://t.co/rb0rpZWxFP',Mon Nov 02 15:16:22 +0000 2020
59,alhnona123a,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:23 +0000 2020
60,abdullah050166,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:23 +0000 2020
61,EQiHLQyureuNIGg,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:24 +0000 2020
62,soui110,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:24 +0000 2020
63,amna1416a,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:25 +0000 2020
64,SIsmConcepts,b'iPhone 12 Pro is experiencing higher demand than the cheaper 12.\nApple is making TONS of money with the 12 series!',Mon Nov 02 15:16:26 +0000 2020
65,alasmri20221,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:26 +0000 2020
66,Reem52517975,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:27 +0000 2020
67,gdoory110,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:27 +0000 2020
68,ahid_q,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:27 +0000 2020
69,Kha_11_kha,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:27 +0000 2020
70,sami_aleutawi,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:28 +0000 2020
71,Fahd5460,b'RT @ALABDULLATIF:      \n  | 10  #iPhone12\n\n\n  \n  \n  ',Mon Nov 02 15:16:28 +0000 2020
72,wzjKzQ9KHystUWh,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:29 +0000 2020
73,MUHAALM,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:30 +0000 2020
74,fararah_mubarak,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:31 +0000 2020
75,b774433,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:32 +0000 2020
76,Hsjsjkkk2,b'RT @ALABDULLATIF:      \n  | 10  #iPhone12\n\n\n  \n  \n  ',Mon Nov 02 15:16:32 +0000 2020
77,RqkoP1XHFUb5z7l,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:32 +0000 2020
78,fmalwadi,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:32 +0000 2020
79,_a_s_k25,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:33 +0000 2020
80,99000Siii,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:33 +0000 2020
