,name,text,time
0,GlGunln,b'RT @iPhoneiOSth: iPhone 12  iPhone 12 Pro   3    3 .\n',Tue Nov 03 04:52:39 +0000 2020
1,oshaberi_fuchu,b'\n#docomo\n#iPhone12Pro\n#iPhoneSE2\n\n# #\n\n\n\n\n#\n#iPhone https://t.co/BalDY7uFFM',Tue Nov 03 04:52:40 +0000 2020
2,PaKa928,b'#3',Tue Nov 03 04:53:08 +0000 2020
3,oshaberi_fuchu,b'\n#docomo\n#iPhone12Pro\n#iPhone12\n#iPhoneSE2\n\n# #\n\n\n\n\n# https://t.co/hTUQMzvBzk',Tue Nov 03 04:53:23 +0000 2020
4,oshaberi_fuchu,b'\n#au\n#iPhone12\n#iPhone12Pro\n#iPhoneSE2\n\n# #\n\n\n\n\n# https://t.co/FCcbgXwzGK',Tue Nov 03 04:53:31 +0000 2020
5,M0h_0a,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Tue Nov 03 04:53:36 +0000 2020
6,Mxpsn_,b'RT @Lollkmook:  11  ',Tue Nov 03 04:53:55 +0000 2020
7,Thawalrat1,b'RT @iPhoneiOSth: iPhone 12  iPhone 12 Pro   3    3 .\n',Tue Nov 03 04:53:56 +0000 2020
8,immadmaxandl,b'RT @iPhoneiOSth: iPhone 12  iPhone 12 Pro   3    3 .\n',Tue Nov 03 04:54:00 +0000 2020
9,MARLONMENJIVARH,b'Desde que @Apple lanz al mercado su nuevo #iphone12  las calles estn ms limpias y se respira aire fresco.  https://t.co/MG3RcUvEbm',Tue Nov 03 04:54:01 +0000 2020
10,Mxpsn_,b'RT @iPhoneiOSth: iPhone 12  iPhone 12 Pro   3    3 .\n',Tue Nov 03 04:54:08 +0000 2020
11,limited_tmk,b'RT @iPhoneiOSth: iPhone 12  iPhone 12 Pro   3    3 .\n',Tue Nov 03 04:54:10 +0000 2020
12,Misakisasuke,b'RT @iPhoneiOSth: iPhone 12  iPhone 12 Pro   3    3 .\n',Tue Nov 03 04:54:19 +0000 2020
13,minachannel_com,b'iPhone12mini\n#iPhone12#iPhone12mini #Apple #BLOGOS #blog #iPhone12mini # #  #blog #blogger https://t.co/emromwFohd',Tue Nov 03 04:54:21 +0000 2020
14,parkjeanhun,b'RT @iPhoneiOSth: iPhone 12  iPhone 12 Pro   3    3 .\n',Tue Nov 03 04:54:35 +0000 2020
15,sunstarmoonnsky,b'RT @Lollkmook:  11  ',Tue Nov 03 04:54:37 +0000 2020
16,InnovativeOne1,b'RT @minachannel_com: iPhone12mini\n#iPhone12#iPhone12mini #Apple #BLOGOS #blog #iPhone12mini # #  #blog #blogger #B',Tue Nov 03 04:54:42 +0000 2020
17,t_itamiya,b' #AR #iPhone12Pro #floods #AugmentedReality https://t.co/FBe0znt8kQ',Tue Nov 03 04:54:52 +0000 2020
18,takachan_fen,b'RT @minachannel_com: iPhone12mini\n#iPhone12#iPhone12mini #Apple #BLOGOS #blog #iPhone12mini # #  #blog #blogger #B',Tue Nov 03 04:54:53 +0000 2020
19,BedeutenM,b'RT @Lollkmook:  11  ',Tue Nov 03 04:54:53 +0000 2020
20,_thisisjxn_,b'RT @iPhoneiOSth: iPhone 12  iPhone 12 Pro   3    3 .\n',Tue Nov 03 04:54:58 +0000 2020
21,joyydear,b'@btsfeel sim \n#AForcadoQuerer #BRAxPER #brasilnoeiplus #AppleEvent  #TDYAwards #iPhone12 #AlbumoftheYear https://t.co/1a3zLE8qYm',Tue Nov 03 04:55:30 +0000 2020
22,macjbby,b'@ibalaji22 @Apple No kidding... Impressive #iPhone12Pro',Tue Nov 03 04:55:50 +0000 2020
23,maetahun,b'RT @iPhoneiOSth: iPhone 12  iPhone 12 Pro   3    3 .\n',Tue Nov 03 04:56:11 +0000 2020
24,akii_life,b'\n\n\n\n#iPhone12Pro https://t.co/tWXEYP7Y5M',Tue Nov 03 04:56:28 +0000 2020
25,kbaek_an,b'RT @Lollkmook:  11  ',Tue Nov 03 04:56:29 +0000 2020
26,TechmoBlog,b' iPhone 12   Apple  #iPhone12\n\nhttps://t.co/jtopACQyro',Tue Nov 03 04:56:34 +0000 2020
27,dafortbewithu,b'  11pro #iPhone12',Tue Nov 03 04:56:35 +0000 2020
28,Moongie_Phowngi,b'RT @jon_prosser: Night mode is witch craft. #iPhone12Pro \n\nReality                          Night mode https://t.co/iGbco0uKkE',Tue Nov 03 04:56:42 +0000 2020
29,Aziiz23234,b'RT @ALABDULLATIF:      \n  | 10  #iPhone12\n\n\n  \n  \n  ',Tue Nov 03 04:56:43 +0000 2020
30,Litu_ck,"b'Hey Guys, Unboxing &amp; Review Video of Apple iPhone 12 Pro by Tmax Technical.  Watch Now: https://t.co/Jqz3rVoxVo https://t.co/62AbasjfCY'",Tue Nov 03 04:56:43 +0000 2020
31,takachan_fen,b'\n# #iPhone12Pro #iPhone12 #iPhone12mini #iPhone12 #Apple #  # #blog https://t.co/Ic8mFPuJZw',Tue Nov 03 04:56:55 +0000 2020
32,tiiry_1,b'RT @ALABDULLATIF:      \n  | 10  #iPhone12\n\n\n  \n  \n  ',Tue Nov 03 04:57:02 +0000 2020
33,Mxxktm,b'RT @iPhoneiOSth: iPhone 12  iPhone 12 Pro   3    3 .\n',Tue Nov 03 04:57:02 +0000 2020
34,manukapoor9,b'Ok this is annoying! If you use dual-sim you can forget about 5G #iPhone12Pro  @briantong @tldtoday @reneritchie https://t.co/W7lvGxVrV3',Tue Nov 03 04:57:03 +0000 2020
35,tiiry_1,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Tue Nov 03 04:57:06 +0000 2020
36,buttermint_sh,b'RT @Lollkmook:  11  ',Tue Nov 03 04:57:06 +0000 2020
37,minachannel_com,b'RT @takachan_fen: \n# #iPhone12Pro #iPhone12 #iPhone12mini #iPhone12 #Apple #  # #blog #BLOGO',Tue Nov 03 04:57:09 +0000 2020
38,nammybarbie,b'RT @iPhoneiOSth: iPhone 12  iPhone 12 Pro   3    3 .\n',Tue Nov 03 04:57:17 +0000 2020
39,praewi__,b'RT @wpperofficial:  iPhone 11  12  \n1.   #AppleEvent #iPhone12 #iPhone11 https://t.co/J',Tue Nov 03 04:57:28 +0000 2020
40,InnovativeOne1,b'RT @takachan_fen: \n# #iPhone12Pro #iPhone12 #iPhone12mini #iPhone12 #Apple #  # #blog #BLOGO',Tue Nov 03 04:57:28 +0000 2020
