,name,text,time
0,ipodayu,"b'iPhone 12 MiNi Pro Max Silicone Case\nChengDu ChunWei Science&amp;Tech Co.,Ltd\nhttps://t.co/bfyLT4ZEH0\nPhone:+86 (159 02 https://t.co/rJmy5afNNu'",Fri Oct 30 03:37:59 +0000 2020
1,alyan_hisham,b'RT @ZainKSA:    iPhone 12    5G \n     #5G   50  \n   \n  ',Fri Oct 30 03:38:02 +0000 2020
2,80oo80,b'RT @ZainKSA:    iPhone 12    5G \n     #5G   50  \n   \n  ',Fri Oct 30 03:38:06 +0000 2020
3,BBshiney,b'RT @BBshiney:   RICOH FF9D  35 mm. F3.5      ',Fri Oct 30 03:38:12 +0000 2020
4,KimRoss918,b'RT @iblason: #iPhone12 and #iPhone12Pro are out today! Which model do you want to get your hands on? Be sure to pair it with the perfect ca',Fri Oct 30 03:38:14 +0000 2020
5,kitcut,b'Razer Charging Pad Chroma\niPhone 12 Pro \n\nGood!\n\n\nUSB-CMacBook\n https://t.co/9K2DkppzWE',Fri Oct 30 03:38:21 +0000 2020
6,KimRoss918,"b'RT @iblason: Our full #iPhone12 collection of cases is now on Amazon.  Choose from the 20-ft drop tested Ares, the strong and stylish Cos'",Fri Oct 30 03:38:23 +0000 2020
7,KimRoss918,"b""RT @iblason:  IPHONE 12 PRO MAX GIVEAWAY  Here's how to enter: \n\n1 Enter our official giveaway on Gleam: https://t.co/71aEecAocx\n2 Ra""",Fri Oct 30 03:38:33 +0000 2020
8,donmarie2018,b'RT @ToriH318: How Im feeling right now setting up my #iPhone12Pro https://t.co/NVim5QQhG3',Fri Oct 30 03:38:35 +0000 2020
9,AppleRTweet,b'RT @kitcut: Razer Charging Pad Chroma\niPhone 12 Pro \n\nGood!\n\n\nUSB-CMacBook\n',Fri Oct 30 03:38:39 +0000 2020
10,Nana____s2,b'docomo341\n#iPhone12Pro  #docomo',Fri Oct 30 03:38:42 +0000 2020
11,16200413a,b'RT @AimanAfiff: Everybody knows u should put it in rice',Fri Oct 30 03:38:42 +0000 2020
12,mrkh51,b'\n#iphone12\n#iphone12pro',Fri Oct 30 03:38:45 +0000 2020
13,youme__i,b'     #5G   50  \n#5G_',Fri Oct 30 03:38:45 +0000 2020
14,umharooon,b'RT @ZainKSA:    iPhone 12    5G \n     #5G   50  \n   \n  ',Fri Oct 30 03:39:02 +0000 2020
15,Hashizo_Mighty,b'RT @taishiishida: \n@nodd_jp \n#iPhone12 https://t.co/o5jMIzAg6D',Fri Oct 30 03:40:08 +0000 2020
16,MDRT83716133,b'iphone 14.1 battery drain at 6s plus. Do you face this problem &amp; when will release new update?\n\n#ios14homescreen  #ios #iPhone12',Fri Oct 30 03:40:17 +0000 2020
17,Ms_majesties,b'RT @AirpodsUsers:    #iPhone12 #iPhone12Pro \npreorder   6  \nwalk-in    13  ',Fri Oct 30 03:40:44 +0000 2020
18,Man_Of_IKEA,b'RT @mrkh51: \n#iphone12\n#iphone12pro',Fri Oct 30 03:40:55 +0000 2020
19,Man_Of_IKEA,b'RT @AirpodsUsers:    #iPhone12 #iPhone12Pro \npreorder   6  \nwalk-in    13  ',Fri Oct 30 03:40:55 +0000 2020
20,LToniJ,b'Received mine today.... soooooo why am I hesitant to activate it? Im coming from the iPhoneXS. Did I essentially b https://t.co/TloByyqyFI',Fri Oct 30 03:41:16 +0000 2020
21,softghetto2k,b'Yeeeepp #iphone #iPhone12 https://t.co/oQXNGUxfXI',Fri Oct 30 03:41:20 +0000 2020
