,name,text,time
1171,pshhrt_,b'RT @BrightMinho:  iPhone 12 Pro\n\n     LiDAR scanner \n\n..',Wed Oct 28 17:23:47 +0000 2020
1172,mopage19,b'setup vs photo #iPhone12Pro https://t.co/9QM60joRvk',Wed Oct 28 17:24:14 +0000 2020
1173,mpitt79,b'@mchgli https://t.co/cueC0X04l9',Wed Oct 28 17:24:20 +0000 2020
1174,beniYarU,"b""RT @HubsideFR: [#CONCOURS ] \n\nL'iPhone12 : pas encore sorti, @HubsideFR vous l'offre dj ! \n\nPour participer  RT + Follow \n\nTirage au so""",Wed Oct 28 17:24:41 +0000 2020
1175,Manoraj46206456,"b'RT @Poorvika_Mobile: Get upto 6,000* Off on #Apple #AirPods when you Pre-Book the newly launched #iPhone12 / 12 Pro, exclusively at #Poorv'",Wed Oct 28 17:24:45 +0000 2020
1176,J6VdRNZMvZq7roj,b'RT @fulwahcoach:   \n\nLets have a new adventure\n\nAzkara 2021\n\n#_ #__ #_',Wed Oct 28 17:25:01 +0000 2020
1177,quaversal,"b'Stay in touch with the #Quaversal Newsletter.  Last week, we looked at what the new #Cisco #RoomNavigator can do fo https://t.co/2l0OcZi8Dl'",Wed Oct 28 17:25:02 +0000 2020
1178,ployjamailazyka,b'RT @BrightMinho:   555555',Wed Oct 28 17:25:39 +0000 2020
1179,isefakutlu,b'Bekle beni #iPhone12Pro https://t.co/0pu5rJ5VAT',Wed Oct 28 17:25:42 +0000 2020
1180,mikahsargent,b'My thoughts on the new iPhone 12 Pro AND a spooky hat!',Wed Oct 28 17:25:45 +0000 2020
1181,Alice13989971,b'RT @FJFaria92: Unboxing the #iPhone12\n#appleiphone #unboxing #tech #youtube \nhttps://t.co/7iAawQgugM',Wed Oct 28 17:26:04 +0000 2020
1182,open_eugene,"b'RT @parismarx: Obviously I tried to highlight some of this when I spoke to Jenny Chan for @techwontsaveus, but I want to see that critical'",Wed Oct 28 17:26:07 +0000 2020
