,name,text,time
0,Abarai_Allen,"b""RT @Clubic:  #JEUCONCOURS \n\nTentez de gagner un #iPhone12Pro 128 Go et 1 an de licence Nord VPN !\n\nPour participer c'est trs simple :\n1""",Wed Nov 04 10:39:11 +0000 2020
1,trideementioff,b'RT @NimasoJp: \n\niPhone 12 mini (128G)4\n\n@nimasojpRT\nURL https://t.co/22Ks35RArP\n1115',Wed Nov 04 10:39:46 +0000 2020
2,Ra__09im,b'#3',Wed Nov 04 10:40:05 +0000 2020
3,ChristineVeau,"b""RT @Clubic:  #JEUCONCOURS \n\nTentez de gagner un #iPhone12Pro 128 Go et 1 an de licence Nord VPN !\n\nPour participer c'est trs simple :\n1""",Wed Nov 04 10:40:15 +0000 2020
4,doll_fn,b'RT @Miitya0712: 50PC1\nRTX3090PC\nGpro wireless\nAPEXpro\nBenQ240Hz\n1\n\n@Miitya0712 ',Wed Nov 04 10:40:17 +0000 2020
5,horimgm6262,b'#3',Wed Nov 04 10:40:25 +0000 2020
6,ThakorAnil007,b'RT @supcase_atl: No purchase necessary. Takes less than a minute to enter  https://t.co/KDiQiKREEv \n\n  : #Enter everyday. Tag',Wed Nov 04 10:40:51 +0000 2020
7,LryiH,b'RT @Miitya0712: 50PC1\nRTX3090PC\nGpro wireless\nAPEXpro\nBenQ240Hz\n1\n\n@Miitya0712 ',Wed Nov 04 10:40:53 +0000 2020
8,ThakorAnil007,"b""RT @supcase_atl: Only 1 day left in our #iPhone12 giveaway! To increase your chances of #winning we've added TWO new #entries including a n""",Wed Nov 04 10:41:21 +0000 2020
9,0j0ev0mpxfFuitz,b'#',Wed Nov 04 10:41:28 +0000 2020
10,ruthless_josh,b'RT @_oluwarotimi: Available are mad ridiculous prices \n#iPhone12Pro #iPhone12 #UCL https://t.co/Ctg3IQv5w8',Wed Nov 04 10:41:44 +0000 2020
11,inishieno_mahou,b'\n\n#iphone12pro \n# https://t.co/lpdlLo6reT',Wed Nov 04 10:42:01 +0000 2020
12,manal_78i,b'RT @azayerthobe: #_ 1\n20  \n40 -  500 \n\n#_ 2\n  -',Wed Nov 04 10:42:12 +0000 2020
13,manal_78i,b'RT @AZAYER_: #_ 1\n20  \n40 -  500 \n\n#_ 2\n  --',Wed Nov 04 10:42:14 +0000 2020
14,meguicibandaze,b'RT @inishieno_mahou: \n\n#iphone12pro \n# https://t.co/lpdlLo6reT',Wed Nov 04 10:42:30 +0000 2020
15,y5y5y5555,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Wed Nov 04 10:42:49 +0000 2020
16,Rin_channel0204,b'#3 \niPhone',Wed Nov 04 10:42:51 +0000 2020
17,olivierbienvenu,"b""RT @Clubic:  #JEUCONCOURS \n\nTentez de gagner un #iPhone12Pro 128 Go et 1 an de licence Nord VPN !\n\nPour participer c'est trs simple :\n1""",Wed Nov 04 10:42:59 +0000 2020
18,yeezyena,b'RT @yeezyena:  #YEEZY \nNatural \n 100\n\n adidas Yeezy Boost 350 V2 Natural\n 40    #  \n\n#yeezy # # #',Wed Nov 04 10:43:00 +0000 2020
19,onsitego,"b""Upgrading to the new iPhone? #iPhone12 &amp; #iPhone12Pro are Apple's first major upgrade since the iPhone X &amp; the comp https://t.co/4Gq53GNU5o""",Wed Nov 04 10:43:18 +0000 2020
20,azzzf8,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Wed Nov 04 10:43:19 +0000 2020
21,smrooon_91,b'RT @AZAYER_: #_ 1\n20  \n40 -  500 \n\n#_ 2\n  --',Wed Nov 04 10:43:20 +0000 2020
22,Man_Of_IKEA,b'RT @supcase_atl: No purchase necessary. Takes less than a minute to enter  https://t.co/KDiQiKREEv \n\n  : #Enter everyday. Tag',Wed Nov 04 10:43:23 +0000 2020
23,Man_Of_IKEA,b'RT @_oluwarotimi: Available are mad ridiculous prices \n#iPhone12Pro #iPhone12 #UCL https://t.co/Ctg3IQv5w8',Wed Nov 04 10:43:23 +0000 2020
24,yasoo160,b'RT @azayerthobe: #_ 1\n20  \n40 -  500 \n\n#_ 2\n  -',Wed Nov 04 10:43:33 +0000 2020
25,mirette1200,"b""RT @Clubic:  #JEUCONCOURS \n\nTentez de gagner un #iPhone12Pro 128 Go et 1 an de licence Nord VPN !\n\nPour participer c'est trs simple :\n1""",Wed Nov 04 10:43:43 +0000 2020
