,name,text,time
0,joyydear,b'@jeonsplans sim \n#AForcadoQuerer #BRAxPER #brasilnoeiplus #AppleEvent  #TDYAwards #iPhone12 #AlbumoftheYear https://t.co/krDjwYn0tm',Thu Oct 29 03:41:27 +0000 2020
1,Pumpkinbuttgame,b'@HalloweenDaily @iPhone_Games @iphonegame24x7 @Pumpkinbuttgame @pgbiz',Thu Oct 29 03:41:30 +0000 2020
2,SumaAnjali5,"b'RT @Poorvika_Mobile: Get upto 6,000* Off on #Apple #AirPods when you Pre-Book the newly launched #iPhone12 / 12 Pro, exclusively at #Poorv'",Thu Oct 29 03:41:43 +0000 2020
3,se_be_coachable,b'RT @se_be_coachable: \n4\n\n\n\n\n\n\n\n\n',Thu Oct 29 03:42:25 +0000 2020
4,wallcolorart,b'#phonecase  #phonecases  #tech  #iPhone12  #iPhone  #Samsung  #Fashionista  I need a New Phone Case!   https://t.co/rWw4uLFyBj',Thu Oct 29 03:42:42 +0000 2020
5,gracevansciver1,"b'People: isnt Apple just selling us the same stuff?\nApple: No! Its different see because this year, its a little https://t.co/tW2wDl6sBS'",Thu Oct 29 03:42:42 +0000 2020
6,AppleRTweet,"b'RT @gracevansciver1: People: isnt Apple just selling us the same stuff?\nApple: No! Its different see because this year, its a little bit'",Thu Oct 29 03:42:45 +0000 2020
7,haj_agha_ferfri,b'  \n   #iPhone12  \n      \n  \n#',Thu Oct 29 03:43:02 +0000 2020
8,tamarin0704,b'RT @suiama1008: -1029()\n\n\niPhone12\n\n##\n# \n# #\n#abc #abc1008\n# #i',Thu Oct 29 03:43:11 +0000 2020
9,doragun_,b'iPhone12\n\n#iPhone12\n#iOS14',Thu Oct 29 03:43:29 +0000 2020
10,tanuichi_room,b'iPhone12/12pro\n\n\n\nAmazon\nhttps://t.co/IV2300ZUR3\n\n#iPhone12\n#iPhone12pro',Thu Oct 29 03:43:32 +0000 2020
11,loui1204,b'iPhone123 https://t.co/WJDVhtLwtw',Thu Oct 29 03:44:00 +0000 2020
12,UQ_DonkiNagano,b'\n\n#UQ  #iPhone12 \nSIM\n\n0262193114',Thu Oct 29 03:44:03 +0000 2020
13,atoyumino6570,b'iPhone\n\niPhone 12 Pro\niPhone 12\n\n\nOK\n\n\nhttps://t.co/5lkMxdWNYc https://t.co/jRwzHvZIXE',Thu Oct 29 03:44:41 +0000 2020
14,_cokaholic,b'my new gear...\n#iPhone12Pro https://t.co/bY7LDWCRSF',Thu Oct 29 03:44:45 +0000 2020
15,NickChao17,b'#iphone12 #transfermusic How to Transfer Music from Android to iPhone 12 in 2 Ways\nhttps://t.co/uhxNzBQ6IN',Thu Oct 29 03:44:46 +0000 2020
16,Shibly_Nahid,b'Even though #iPhone12 has Ceramic Shield on it but yes It dose get scratched on level 6 but another interesting thi https://t.co/Exv9Bh27W7',Thu Oct 29 03:44:58 +0000 2020
17,NobuYanagieao,b'd\n\n\n#FF14\n#iPhone12pro  https://t.co/WsEajYxzlR',Thu Oct 29 03:45:02 +0000 2020
18,AppleRTweet,b'RT @Shibly_Nahid: Even though #iPhone12 has Ceramic Shield on it but yes It dose get scratched on level 6 but another interesting thing is',Thu Oct 29 03:45:18 +0000 2020
19,duangkaeo2512,b'RT @Thairath_News: #iPhone12 4    \nhttps://t.co/eK1q1uVlbE',Thu Oct 29 03:45:54 +0000 2020
20,iosys_rojiomote,b'RT @iosys_rojiomote: \\\\Pro//\n\niPhone12Pro\n\n\n128GB\n\n\n\n\n\nTEL: 03325146',Thu Oct 29 03:46:08 +0000 2020
21,masakoi0,b'iPhone 12\niPhone\n\niPhone\n#iPhone12',Thu Oct 29 03:46:44 +0000 2020
22,apple_addict97,b'RT @iKilledAppl3: All shot and edited on #iPhone12Pro #Halloween decorations at a friends house! https://t.co/jjvzRZY1l0',Thu Oct 29 03:46:46 +0000 2020
23,InfinoxThailand,b'  https://t.co/JvmmT9tQIT\n\n#INFINOX\n70.03%  https://t.co/g5U7mgPcVn',Thu Oct 29 03:47:54 +0000 2020
24,aisapo_miosb,b'RT @aisapo_cancansb: \n\nhttps://t.co/wl3fjVWQjO\n# # #  # # # # # #',Thu Oct 29 03:48:32 +0000 2020
25,aisapo_miosb,b'RT @aisapo_mqm: \n\nhttps://t.co/1dsOv37jqt\n\n\n\n# # # # # # # #iPhone12pro',Thu Oct 29 03:48:40 +0000 2020
26,hitomi_tanaka60,b'# \n# # \n# # \n\n',Thu Oct 29 03:48:41 +0000 2020
27,Sanjay251410,b'RT @AndroidAuth: The charger-less iPhone 12 isnt as eco-friendly as Apple wants you to think.\nRead more: https://t.co/973YfAqnx1 \n\n#techno',Thu Oct 29 03:49:01 +0000 2020
28,19zVibTIzvfR55K,b'(^0^)',Thu Oct 29 03:49:22 +0000 2020
29,tani3104,b'iPhone 12 Pro #iPhone12Pro #iPhone12Pro https://t.co/IG9v6Pbkpg',Thu Oct 29 03:50:12 +0000 2020
30,MahiroKawaei212,b'RT @thetvjp: \niPhone\n\n\nhttps://t.co/rsJ5ypggc1\n\n\nhttps://t.co/9BMvXsxIy3\n\n#',Thu Oct 29 03:50:27 +0000 2020
31,aisapo_lucua,b'\niPhone \n\n\nhttps://t.co/K0WE12GlUK\n\n# # # # #iPhone12Pro https://t.co/q31FoW2q9D',Thu Oct 29 03:50:43 +0000 2020
32,Wildreamz,b'Night-sight + ultra-wide is a sight to behold. #iPhone12',Thu Oct 29 03:50:48 +0000 2020
33,rin_suzu_ars3,b'RT @mainichi_adv: 10/23 #SoftBank #iPhone12Pro # \n5AR\n #5',Thu Oct 29 03:50:53 +0000 2020
34,AppleRTweet,b'RT @aisapo_lucua: \niPhone \n\n\nhttps://t.co/K0WE12GlUK\n\n# # # # #iPhone12Pro #iOS14 #',Thu Oct 29 03:50:57 +0000 2020
35,rin_suzu_ars3,b'RT @yomiojo:  #   # # !#ARSQUARE \n\n# # # # # #AR  #',Thu Oct 29 03:50:59 +0000 2020
36,rin_suzu_ars3,b'RT @nikkei_ad_flash: 10/23#SoftBank #iPhone12Pro\n\n#  # \n\n',Thu Oct 29 03:51:04 +0000 2020
37,soueu_rodrigo,b'Uma das coisas que funcionam no Brasil  o Procon. Parabns pela atitude @proconspoficial. Tem que ir pra cima da https://t.co/dXfC7rfRWs',Thu Oct 29 03:51:23 +0000 2020
38,rin_suzu_ars3,b'RT @mainichi_adv: 10/23 #SoftBank #iPhone12Pro # \n5AR\n #5',Thu Oct 29 03:52:06 +0000 2020
39,teluruhigakoshi,b'#iPhone12/ 12 #Pro \n!!\n\n\niPhone!!\nTEL:0489724460\n#\n#\n#iPhone https://t.co/SiwTbYUH9m',Thu Oct 29 03:52:09 +0000 2020
